epoch,learning_rate,loss,output_Boredom_accuracy,output_Boredom_loss,output_Confusion_accuracy,output_Confusion_loss,output_Engagement_accuracy,output_Engagement_loss,output_Frustration_accuracy,output_Frustration_loss,val_loss,val_output_Boredom_accuracy,val_output_Boredom_loss,val_output_Confusion_accuracy,val_output_Confusion_loss,val_output_Engagement_accuracy,val_output_Engagement_loss,val_output_Frustration_accuracy,val_output_Frustration_loss
0,9.999999747378752e-05,3.6997225284576416,0.42032569646835327,1.2018535137176514,0.6685219407081604,0.8747237324714661,0.5054627656936646,0.9228513836860657,0.7757163643836975,0.6983788013458252,4.072742462158203,0.3051084578037262,1.4528921842575073,0.6592022180557251,0.8617686629295349,0.5374387502670288,1.0077095031738281,0.7403779029846191,0.7446919679641724
1,9.999999747378752e-05,3.448495626449585,0.4881467819213867,1.1075066328048706,0.6827458143234253,0.8307662606239319,0.5417439937591553,0.8677457571029663,0.7814883589744568,0.6429839134216309,3.977277994155884,0.4051784574985504,1.3390343189239502,0.6578026413917542,0.8592256307601929,0.5605318546295166,1.0120055675506592,0.7375787496566772,0.7631623148918152
2,9.999999747378752e-05,3.4004392623901367,0.4811379015445709,1.090234398841858,0.6883116960525513,0.8240211606025696,0.5675118565559387,0.8534672260284424,0.7821067571640015,0.6356633901596069,4.044208526611328,0.39398181438446045,1.4101637601852417,0.6522043347358704,0.8601481318473816,0.5395381450653076,1.0189083814620972,0.7403779029846191,0.7494807839393616
3,9.999999747378752e-05,3.3319530487060547,0.5017521977424622,1.0585018396377563,0.6895485520362854,0.8111558556556702,0.588744580745697,0.8294199109077454,0.7821067571640015,0.6344173550605774,4.063413143157959,0.39188244938850403,1.4182720184326172,0.6592022180557251,0.8590633869171143,0.5360391736030579,1.0187702178955078,0.7403779029846191,0.760719358921051
4,9.999999747378752e-05,3.3081955909729004,0.5244279503822327,1.0503085851669312,0.6893423795700073,0.8085760474205017,0.5980210304260254,0.8252546787261963,0.7814883589744568,0.6223875284194946,4.060426235198975,0.3750874698162079,1.3943883180618286,0.6319104433059692,0.8651642799377441,0.46675997972488403,1.0444906949996948,0.7403779029846191,0.7545896172523499
5,9.999999747378752e-05,3.2833786010742188,0.5190682411193848,1.041292428970337,0.6918160915374756,0.8058573603630066,0.600907027721405,0.8133342266082764,0.7819006443023682,0.622957170009613,3.9761319160461426,0.4191742539405823,1.3079190254211426,0.6592022180557251,0.8832309246063232,0.5647305846214294,1.010990023612976,0.7403779029846191,0.7762660384178162
6,9.999999747378752e-05,3.262521266937256,0.5209234952926636,1.0319141149520874,0.6959390044212341,0.7939934134483337,0.6027623414993286,0.8118408918380737,0.7808699011802673,0.6251962780952454,4.000924110412598,0.3561931550502777,1.3541607856750488,0.6347095966339111,0.8768392205238342,0.5584324598312378,0.9983499050140381,0.7347795367240906,0.770369827747345
7,9.999999747378752e-05,3.2260684967041016,0.5266955494880676,1.025143027305603,0.6963512897491455,0.7875496745109558,0.612863302230835,0.8035008311271667,0.7823129296302795,0.6102091670036316,3.9243621826171875,0.40937718749046326,1.3130428791046143,0.6291112899780273,0.8678010106086731,0.5808257460594177,0.9838206171989441,0.7326802015304565,0.7648997902870178
8,9.999999747378752e-05,3.221843719482422,0.5318490862846375,1.0161982774734497,0.6963512897491455,0.7899895310401917,0.6116264462471008,0.8010068535804749,0.7802515029907227,0.613889217376709,4.072985649108887,0.33939817547798157,1.3807144165039062,0.5745276212692261,0.9109213352203369,0.5745276212692261,1.0087883472442627,0.7396780848503113,0.7735685706138611
9,9.999999747378752e-05,3.1902170181274414,0.53040611743927,1.0104061365127563,0.695732831954956,0.7825364470481873,0.6227582097053528,0.791914701461792,0.7821067571640015,0.6084182858467102,4.000330924987793,0.39398181438446045,1.3326340913772583,0.5899230241775513,0.892949104309082,0.5479356050491333,0.9908794164657593,0.7403779029846191,0.7863137722015381
10,9.999999747378752e-05,3.201220750808716,0.5351473689079285,1.0157783031463623,0.7021232843399048,0.7798558473587036,0.6054421663284302,0.7971791625022888,0.780457615852356,0.6075520515441895,4.010112762451172,0.38418474793434143,1.3542311191558838,0.6207137703895569,0.879332959651947,0.5570328831672668,1.0150021314620972,0.7403779029846191,0.7609507441520691
11,9.999999747378752e-05,3.154700517654419,0.5407132506370544,0.996854305267334,0.6977942585945129,0.7736446857452393,0.6147186160087585,0.7864140868186951,0.7827252149581909,0.5971440076828003,4.186422348022461,0.3687893748283386,1.4467997550964355,0.6340097784996033,0.8640779852867126,0.5080475807189941,1.1033947467803955,0.7403779029846191,0.7690317630767822
12,9.999999747378752e-05,3.1442878246307373,0.5361781120300293,0.9894260764122009,0.6977942585945129,0.7706982493400574,0.6204906105995178,0.7854450345039368,0.7800453305244446,0.5984851717948914,4.021347999572754,0.37858641147613525,1.3624166250228882,0.6039188504219055,0.8810284733772278,0.5682295560836792,1.0077571868896484,0.7403779029846191,0.7672677040100098
13,4.999999873689376e-05,3.0768399238586426,0.5475159883499146,0.9709907174110413,0.7089260220527649,0.7534344792366028,0.6291486024856567,0.7667797207832336,0.7829313278198242,0.5859432816505432,4.149649620056152,0.37648704648017883,1.4368916749954224,0.5997200608253479,0.9038256406784058,0.5535339117050171,1.037240982055664,0.7396780848503113,0.7678347826004028
14,4.999999873689376e-05,3.0316269397735596,0.5625644326210022,0.9535624980926514,0.7095444202423096,0.7440823912620544,0.6262626051902771,0.7526205778121948,0.7825190424919128,0.5803122520446777,4.173898696899414,0.3687893748283386,1.417896032333374,0.5976207256317139,0.9082857966423035,0.5346395969390869,1.0602213144302368,0.723582923412323,0.7859551906585693
15,4.999999873689376e-05,3.0109384059906006,0.5638012886047363,0.9535698294639587,0.7116058468818665,0.7381176352500916,0.6392496228218079,0.7454673051834106,0.7884972095489502,0.5747308135032654,4.1885666847229,0.39958012104034424,1.4229865074157715,0.616515040397644,0.9037037491798401,0.5465360283851624,1.0834530591964722,0.7319803833961487,0.7802022099494934
16,4.999999873689376e-05,2.9770939350128174,0.5701917409896851,0.9437939524650574,0.7194392681121826,0.727340817451477,0.6369820833206177,0.740096390247345,0.7860234975814819,0.5669829249382019,4.319727420806885,0.3750874698162079,1.520439863204956,0.6018194556236267,0.9231827855110168,0.5017494559288025,1.0995723009109497,0.7270818948745728,0.7782987952232361
17,4.999999873689376e-05,2.9663116931915283,0.5706040263175964,0.9369797110557556,0.713254988193512,0.7314792275428772,0.6477015018463135,0.7273674011230469,0.7849928140640259,0.5706074237823486,4.202940464019775,0.3799860179424286,1.4865834712982178,0.616515040397644,0.8864374160766602,0.5136458873748779,1.0609819889068604,0.7305808067321777,0.7706625461578369
18,2.499999936844688e-05,2.885103940963745,0.5829725861549377,0.9092511534690857,0.7171717286109924,0.7139467597007751,0.6586270928382874,0.714677631855011,0.7917954921722412,0.5477757453918457,4.378261089324951,0.35269418358802795,1.5471903085708618,0.6102169156074524,0.9342807531356812,0.5563331246376038,1.1041573286056519,0.7151854634284973,0.7927350401878357
19,2.499999936844688e-05,2.8371386528015137,0.5903937220573425,0.8980919718742371,0.72541743516922,0.696906566619873,0.668109655380249,0.704481303691864,0.7961245179176331,0.5400316119194031,4.383578300476074,0.372288316488266,1.5500824451446533,0.6207137703895569,0.934059202671051,0.5227431654930115,1.0908082723617554,0.7123863101005554,0.8102882504463196
20,2.499999936844688e-05,2.810978889465332,0.5938981771469116,0.8854716420173645,0.7260358929634094,0.6901997923851013,0.6613069176673889,0.7010957598686218,0.7961245179176331,0.5337786674499512,4.689344882965088,0.372288316488266,1.6653659343719482,0.6193141937255859,0.9917181134223938,0.49475157260894775,1.1868171691894531,0.7088873386383057,0.8465656042098999
21,2.499999936844688e-05,2.783670663833618,0.5949288606643677,0.8796785473823547,0.7260358929634094,0.6823692917823792,0.6705833673477173,0.6891546249389648,0.8004535436630249,0.5313666462898254,4.4158220291137695,0.36808958649635315,1.550013542175293,0.6095171570777893,0.9535882472991943,0.5283414721488953,1.1102300882339478,0.702589213848114,0.8045841455459595
22,2.499999936844688e-05,2.758073091506958,0.6062667369842529,0.8693808317184448,0.7316017150878906,0.6821637153625488,0.6720263957977295,0.6824858784675598,0.8000412583351135,0.5237546563148499,4.541654109954834,0.3645906150341034,1.6193790435791016,0.6004198789596558,0.9769356846809387,0.5451364517211914,1.123116374015808,0.6927921772003174,0.8262098431587219
